000A94A0,"Faith: Let them try."
796ACBCC,"OBJECTIVES"
79740819,"Beatrix: His office. I’ve sent you the location. Thank you so much for doing this."
79887E15,"IMPACT - MOMENTUM"
798D37D4,""
798F83CF,"Prisoner: You lied to me! I’m not getting on that bus! I was getting released! I’m not going to the Greylands!"
7996D1C7,"Mirror's Edge™ Catalyst Trophies"
79A6B050,"Building lockdown sequence initiated. Lockdown will be completed in sixty seconds.  This facility has been placed in lockdown mode. Please remain at your work stations until contacted by Elysium Security or a KrugerSec representative.  Building lockdown. Code Alpha. Don’t be alarmed. Remain at your work stations until further notice.  Facility submission protocol initiated. Do not be alarmed. Gas will incapacitate but not harm you."
79ACD7A2,"ADDITIONAL AUDIO"
79B28562,"Automated Voice: Attention! This area is off-limits to everybody but KrugerSec personnel. Trespassing will be immediately deported to the Greylands."
79B655AC,"Yes, girl. I am."
79C4389C,"Nomad: Good, but we have a problem. There’s a loCaste in trouble not far from you. Listen!"
79C6402E,"ALLCOM"
79C6B67F,"Noah: The cabal living there was raided by K-Sec about a year ago. Rumor has it they did one too many runs for Black November."
79D24727,"Avoid detection, please. We don’t want KrugerSec to know."
79E2A67F,"Nomad: Beautiful. Go on to the next one."
79E49850,"ANANSI GROUP"
79E58157,"You! Submit! Submit now!"
79E94075,"Did you tell them we got a possible Black November?"
79EF0CFE,"OMNISTAT TUNNELS"
79EF727C,"Rewarded for completing I Saw You On The Battlefield"
79F42DD2,"Plastic: That sounds backwards to me."
79F4DC7E,"SCANLINE GREEN"
7A0219ED,"Skill Move: WALLRUN to QUICKTURN to JUMP"
7A05BBC6,"Let me go, you losers!"
7A07A24F,"Faith: Shotgun in place. Connecting."
7A07D559,"I think they suspect that I’m on to something, though they don’t know half of it. "
7A1A37C2,"Nomad: Hey, Noah. Faith is helping me out with something."
7A413E8D,"Plastic: I could explain it, but you wouldn’t understand."
7A4879AA,"Delivery confirmed. Payment authorized."
7A50E89B,"Automated Voice: Attention! BrysonmegaFactory Four is always accepting new employs. Please report suitable prospects to your closest Bryson office."
7A5DD6B5,"Faith: So we’re screwed. He’s won."
7A6A04CA,"DISRUPTOR - CITY ALERT"
7A6E42B1,"SENIOR MANAGER GLOBAL MEDIA"
7A744D0C,"Nomad: Good. Word is KrugerArms are developing a new type of drone sensor chip. I’m thinking we should grab one for ourselves. But there’s the question of where they keep it."
7A7FBDB5,"ADDITIONAL MIXER"
7A8596F3,"Gain access to Gabriel Kruger's apartment"
7A8596F4,"Gain access to the Malus Art Museum"
7A8596F5,"Find the elevator maintenance shaft"
7A8596F6,"Reach Kruger's private express elevator"
7A8596F7,"Jump and grab the drone!"
7A8596F8,"Go to Plastic"
7A8596F9,"Locate Kruger's console"
7A8596FA,"Escape Kruger's apartment"
7A8B3BED,"Crystal Valley gridLeaks {0:d} / {1:d}"
7A950938,"SURVEILLANCE RECORDINGS"
7AA21668,"BACK IN THE GAME"
7AAA861A,"BASE COMMAND GAME DESIGNER"
7AB75268,"I wanted to send something special to my friend, I thought you might help. The package contains a little thing I made myself. Something for him to remember me by. It’s kind of fragile, so please be careful."
7AC91450,"CANCEL CHALLENGE"
7AD39642,"DELETING PLAYER PROFILE DATA. PLEASE DO NOT TURN OFF YOUR XBOX 360 CONSOLE."
7B091BEC,"COMMUNICATIONS INTERCEPT #001 LOCATION: N/A  TRANSCRIPT:   VOICEPRINT ASSIGNED TO DATABASE ENTRY ""NANDA"" Hey ... It’s me.  VOICEPRINT MATCH: ""DOGEN"" - ONLY KNOWN ALIAS - K-SEC DATABASE ENTRY #B392 Wait? Nanda? Is that you?  NANDA How are you?  (COMMOTION)  DOGEN How am I? Where the hell are you? Are you in Glass? The whole city is coming apart!  NANDA Don’t worry. I’m safe. And I’m in Glass. I just ... wanted to hear your voice.  DOGEN Tell me where you are and I’ll send my people to pick you up. The rioters are killing people out there.  NANDA No. It’s not the rioters. It’s KrugerSec. They started it.  DOGEN I don’t care. It’s not safe. Tell me where you are!  NANDA No. It’s best this way. I’m gonna fight them. Martin Connors urged us to remain peaceful and they killed him. And his wife too. God knows what happened to  the kids.  I gotta go.  DOGEN Nanda!  NANDA I love you.  END OF TRANSCRIPT"
7B091BED,"COMMUNICATIONS INTERCEPT #022 LOCATION: N/A  TRANSCRIPT:   NANDA Are you there?  VOICEPRINT MATCH: REBECCA THANE Yes, girl. I am.  NANDA Are you sure they're not listening?  REBECCA THANE No, I'm not. We should keep this short. No names or locations. Have you found an in?  NANDA I have. They don't suspect anything and have no idea who I am.  REBECCA THANE Good. Make sure it stays that way. We need someone on the inside. Give me an update in a week. Same channel.  NANDA Got it. I will.  END OF TRANSCRIPT"
7B091BEE,"COMMUNICATIONS INTERCEPT #043 LOCATION: N/A  TRANSCRIPT:   REBECCA THANE What do you have for me?  NANDA Not much yet. I can confirm that they’re working on a special project. One entire floor in the agricultural department is off limits to most of us.  REBECCA THANE Like we thought. That means that three of the big corporations are in on this, whatever it is.  NANDA I’m doing my best to ingratiate myself with my section lead. But I doubt I’ll get access anytime soon.  REBECCA THANE Maybe we can get you access some other way. I’ll talk to some people. Continue as before.  END OF TRANSCRIPT"
7B091BEF,"RECORDING #08271 LOCATION: UNKNOWN  TRANSCRIPT:   NANDA Hey ... I just wanted you to know why I’ve stayed away lately. There’s someone looking for me, and I can’t let him find me. Not yet. He’s not dangerous. Or rather, he’s very dangerous, but not to me. He loves me. And that’s part of the problem.  You know I love you. And we’ll be together again soon. I just need to get him off my trail first, and for that to happen I need to stay beneath the radar for a while. He’s probably got you pegged already, and that’s fine. But that’s also why I can’t tell you where I am right now.  And she can’t know either. She must never know that me and him are connected. So please don’t say anything. Stay safe, and we’ll see each other again soon.  END OF TRANSCRIPT"
7B091BF0,"RECORDING #10293 LOCATION: UNKNOWN  TRANSCRIPT:  NANDA You were right, she’s psychotic. This is not the right way to fight the corporations.  I’m getting out and you should too. And not only that but I found evidence that someone else is pulling her strings. I’ll tell you more when we meet, but suffice to say that it’s bad. Really bad.   She’ll kill me when she finds out. I’m saying “when” because it’s only a question of time. I have ... someone, who can help us if it comes to that. Maybe you remember the one who was looking for me two years ago? But I’d rather not pull him into this.  Meet me where we agreed in five days. I’ll bring the evidence and we’ll figure out how to proceed. Everyone must know. And whatever happens she must not get her hands on that thing which she’s been obsessing over the last few weeks. Must not.  See you soon. And watch yourself. I love you.  END OF TRANSCRIPT"
7B096159,"Nomad: By ripping those chips you mess things up for AllCom, and help the outCaste at the same time. Can you do it?"
7B0B0FC7,"CLOSE"
7B20C796,"SENIOR MANAGER ARCHIVES"
7B245684,"Nomad: Good, you should take the route that keeps you away from the Lair. Make it fast and knock out any K-Sec that spots you."
7B2842B5,"INCREASED DAMAGE TO SENTINELS  CLASS • Hunter  STRENGTH • Speed • Wide attack reach • Beat down attack sequence  MINOR WEAKNESS • Traversal Attacks  MAJOR WEAKNESS • Heavy Attack - Switch Place • Disruption  Sentinels are relentless in their ability to chase you down and deliver punishment  Keep moving and your FOCUS SHIELD high with hit and run tactics. Use advanced traversal to create space and open up attack opportunities."
7B3DC37D,"CHECKING PLAYER PROFILE DATA. PLEASE DO NOT TURN OFF YOUR SYSTEM."
7B4D6EFE,"LOCALIZATION COMPLIANCE SPECIALISTS"
7B5C9FA4,"don't trust what the advertisements tell you, and don’t sign up for the treatment. "
7B5E32AE,"RELEASE"
7B5EED88,"COUNTRY MARKETING MANAGER CZECH REPUBLIC"
7B7DB94A,"24/7 LEAD"
7B7EEAE2,"Faith: Let me roll with it, Noah, I need the scrip."
7B80F2C8,"Alright. Just so I know when my words are being immortalized."
7B87007B,"AUDIO & MOVIE"
7B898122,"Shut down any gridNode without notifying KrugerSec of your presence"
7B8AF351,"TECH LEAD"
7B8EEB24,"Undetected Surge"
7BA7F7A9,"LATER"
7BBE181D,"I know you're listening, and I promise you this, Kruger: You will feel my loss. "
7BC09271,"SENIOR MANAGER DIGITAL INTELLIGENCE"
7BC1E5CC,"CONTENT EDITORS"
7BC49E9E,"QUICK TURN"
7BC57227,"2D MEDIA MANAGER"
7BD3681D,"Icarus: Faith! I see you! Get down to the floor below and I’ll shoot you a line."
7BE4DE6D,"ONE HAND CLAPPING"
7BEBB5E2,"GAMEPLAY & WEAPON ENGINEERS"
7BEF621D,"{0:s} {1:~}"
7BF2BF55,"Record Data Replay"
7BFB376F,"PUNCH / KICK"
7BFC3E13,"Exit the gridNode"
7BFD6D8D,"Resume your old life"
7C016A48,"Plastic: You can get down through the elevator shafts."
7C02D78F,"Reunion"
7C03D89A,"Plastic: Running looks hard. But it’s exciting to watch!"
7C3E3761,"Move through the tunnels and meet up with Icarus"
7C3E3762,"Use the terminal to disable the Sentry Drones"
7C3E3763,"Talk to Icarus"
7C3E3764,"Proceed through the building to reach the construction site"
7C3E3765,"Enter building and disable the Sentry Drones"
7C3E3766,"Disable the Sentry Drones at the top of the building"
7C3E3767,"Reach the roof to move to the next building"
7C3E3768,"Reach the top of the building"
7C3E3769,"Jump to the crane hook"
7C3E376A,"Kick the release mechanism"
7C3FEBB8,"Icarus: Hang on while I turn this thing."
7C6B8C97,"Plastic intends to tap into the METAGRID, a closed off network reserved for the Conglomerate elite. There are certain, weakened geoLocational DATAPOINTS that she can use to hack into the network, similar to gridLeaks, but she will need your help.  You need to access every data point within a given AREA. Plastic will tap into them through you, but once she starts the RACE is on to finish before the firewall shuts everything down. If that happens you will need to start over."
7C719CF0,"Rewarded for completing Full Exposure"
7C76AAD9,"WORLD"
7C7706F2,"RAIN BLUE"
7C8F60D3,"BRYSON INDUSTRIES"
7C9DAAE9,"HEADPHONES"
7CA0F600,"PRIVACY COMPLIANCE SPECIALIST"
7CA85FEA,"Dogen: The note is rather poetic. She always had a way with words. I thought she was dead, but it’s obvious to me now that she chose to stay away."
7CA89B4C,"The latest samples show incredible promise. "
7CA89B4D,"I’m confident that everything will go well."
7CA89B4E,"Your progress mirrors the results we’re seeing from every facility."
7CA89B4F,"That’s good to hear, Mr. Kruger. We’ve been-- "
7CA89B50,"What the--"
7CA89B51,"There!"
7CA89B52,"Director Maera, activate the alarm. Deal with him."
7CA89B53,"This is director Maera. We have a code blue. Dr. Hill is dead."
7CA89B54,"What? What do you mean we're locked out?"
7CA89B6C,"Well override it, damn you! Use my tag ..."
7CA89B6D,"Wait! I need him alive. What was that in his hand?"
7CA89B6F,"Cyanide!"
7CA89B70,"What a waste."
7CA89B71,"Stop her!"
7CA89B72,"Where's that thing?"
7CB41506,"Hey, come here."
7CC15B99,"Icarus: Yeah, it seems I got the basics down at least."
7CD763B6,"SPEED RUNNER KIT"
7CF17D36,"Kruger: Reformed employ. I am Gabriel Kruger and on behalf of K-Sec and the Conglomerate board I wish to welcome you back our fair city of Glass. All the major corporations operate here and so there should be ample opportunity for you to find new employment and lead a happy and productive life. You have been given a rare second chance. Make sure not to squander it."
7CF8C2A3,"Could not authenticate with backend."
7CFCBCBD,"Requires {0:s}"
7CFCD8E4,"SENIOR DIRECTOR MARKETING"
7D095E84,"GLOBAL ENGAGEMENT MARKETING"
7D33BF9C,"You there. I have a job for you."
7D3569DE,"INSTALLING MAP ... DONE"
7D3747D0,"Dogen won’t be happy about this."
7D3781EB,"{0:input} TO OPEN THE MAP"
7D3831F0,"SENIOR MANAGER INTEGRATED COMMUNICATIONS"
7D3B261B,"Plastic: I knew it! They’re trying to ambush you! Get away from there, Faith!"
7D4CB702,"Nomad: Great! I got my tools and I’m climbing in right now."
7D525BC6,"Icarus: Isabel Kruger is your sister?"
7D5BD6A8,"Faith: What the hell ..."
7D70D126,"Did you eat?"
7D770E4D,"Delivery confirmed. Thank you. The agreed sum is being transferred now."
7D7A8C06,"I’m inside, Faith. Looking for the right console."
7D7D1598,"Noah: Faith? You there? "
7D8FC123,"DIGITAL PRODUCTS RELEASE MANAGER"
7D9379E5,"Faith: I got a chip. And you were right, there were a few K-Sec here."
7D96806D,"I've never been fond of cats."
7D9B24C7,"Plastic: ... and, done."
7DA2CB5E,"Plastic: Kuma says hi, by the way. He seems to like you. And he doesn’t like anyone. There’s something wrong with his emotional response algorithm but I can’t find the error."
7DA5F1D8,"Faith: Found it. She’s not here, but there’s another note."
7DA89160,"ORIGINAL MUSIC LIBRARIAN"
7DB51722,"Quickly traverse large gaps"
7DB5F133,"SVP DEVELOPMENT"
7DC17FCF,"Automated Voice: Attention! Hard work is always rewarded. A shining example is the true story of Elliott Strong, the star of “Skirting the Edge”, who rose from loCaste to hiCaste over the course of a single fiscal year."
7DDEA9C3,"Complete 10 Dashes in the main game"
7DE413C5,"Roof Runner"
7DE847CA,"Faith: You mean, maybe I could snatch one."
7DF3AAE6,"Use LIGHT TRAVERSAL ATTACKS to move through your enemies without slowing down"
7DF4CF73,"Noah: The Grid is rife with rumors about the explosion. Some are blaming the runners."
7DF91AE6,"SENIOR MANAGER PUBLISHING RELATIONS"
7DFC0916,"Low damage. Causes a short stumble"
7E099EAE,"I was told later today. But there’s been delays."
7E0A563A,"Dogen: Or maybe we’ll have duck. I’m expecting a shipment from Cascadia Prime any day now. Oh, and you’re not invited, Noah."
7E0D6C0B,"LIGHT TRAVERSAL ATTACKS"
7E0D9B75,"You. Here."
7E132197,"Faith: Hey. You’re safe. KrugerSec left."
7E134C29,"Weakness: IMPACT attacks ({0:input})"
7E20CF6E,"USER GENERATED CONTENT"
7E2CEED3,"The complete project blueprint was stolen. "
7E49116E,"Speak to Noah."
7E50CBD3,"Are we leaving soon? I feel better."
7E52962E,"Take flight with some old friends"
7E55279E,"VIVE LA RESISTANCE"
7E580030,"Learn to Fly"
7E5DDEFA,"{0:d}"
7E5FE84D,"Rebecca: I expected no less. Icarus is already out there. And again, the drones are not active yet, so they shouldn’t pose any danger, but watch out for KrugerSec patrols."
7E669D46,"Are you sure?"
7E6F52C7,"Martin: ... and so I put the question to you. Do you want the corporations to rule our lives, or should we do it ourselves?"
7E7107C1,"Noah: Yeah ... It’s a fine line to walk for all of us ..."
7E8A444E,"Faith: I see it."
7EA25945,"To set RUNNER VISION use {0:input} to move the cursor and press {1:input} to place waypoint.  {1:input} SET WAYPOINT on mission objective"
7EA321E2,"DIALOGUE"
7EA84E3C,"OCEAN PIER"
7EA8CEC4,"Development Zone recordings {0:d} / {1:d}"
7EB6D786,"DISRUPT"
7EBDB886,"I'm sure it's related to those people up at agri."
7EC037B0,"ACCEPT DIVERSION"
7ECD76D0,"Icarus: Beggars can’t be choosers. We have nowhere else to go."
7ED3427F,"Development Zone gridLeaks {0:d} / {1:d}"
7EDA3815,"Birdman: Hmm, that’s not good. She was coming in from Neridia Nova. Can you look around a bit?"
7EDB3E40,"Nomad: Be careful you don’t stumble! Don’t let them catch you!"
7EDD664E,"Mom? Dad?"
7EDDF26D,"PLAY SLOWMO"
7EF237E2,"Rebecca: All of you, this is Rebecca. The diversion is ready and the team is almost in place. Today we’ll show the families that none of them are beyond our reach. "
7EF72886,"How was juvie?"
7F019750,"Faith?"
7F0626BC,"Hey don’t ask me. I would’ve-- What the hell?! A breacher!"
7F19186A,"Automated Voice: Alert! Potential threat detected. gridNode defense systems preparing response."
7F1F4C93,"A NEW LIFE"
7F289AA7,"Icarus: You’re not afraid of the echoes, are you?"
7F28E8B0,"TEXTURE/LIGHTING/COMPOSITE"
7F4B1EB7,"THE ALLCOM SHUFFLE"
7F4B1EB8,"TAKE ME TO THE GRIDNODE"
7F4B1EB9,"CONSUMER MAYHEM"
7F4B1EBA,"QUITE A VIEW"
7F4B1EBB,"HEADING HOME"
7F4B1EBC,"DONKEY IN AN OVEN"
7F5728AC,"COMMERCE IDENTITY"
7F70C55C,"Eliminate K-Sec Presence"
7F974E90,"ADDITIONAL RECORDING SERVICES"
7FAD14BC,"Plastic: Their cooling system looks amazing. And it’s not guarded against entry. You just have to deal with the fans. It’ll be messy if they chop you up."
7FB3E7EC,"Icarus: Nice jump, Faith!"
7FC3AFF6,"Construction gridLeaks {0:d} / {1:d}"
7FCCD423,"Plastic: I can’t control that."
7FED7540,"Would you like to save the changes?"
7FF20FCC,"REFLECTION QUALITY"
7FF7AC2C,"BALANCEWALK"
7FFB8FFC,"SUPERVISING TECHNICAL DIRECTOR"
8001BA42,"Runner. Today’s delivery consists of oysters from a Greyland enclave down the coast. To be delivered fresh to Dogen. Remember that these are considered contraband, absurd as it sounds, so be careful."
8001E5E2,"Hold {0:input} while running to springboard"
801644E9,""
801644EA,"The latest samples show incredible promise. I’m confident that everything will go well."
801644EB,"Your progress mirrors the results we’re seeing at every facility."
801644EC,"That’s good to hear, Mr. Kruger.   We’ve been-- "
801644ED,"What the--"
801644EE,"Kruger: Director Maera, activate the alarm.  Deal with him. "
801644EF,"This is director Maera.  We have a code blue. Dr. Hill is dead."
801644F0,"What? What do you mean we're locked out?"
801644F1,"Well override it, damn you! Use my tag - 770930."
801644F2,"Kruger: Wait. I need him alive.  What was that in his hand?"
8016450A,"He’s chewing on something!"
8016450B,"Cyanide!"
8016450C,"What a waste. "
8016450D,"Where is that thing? "
8016450E,"Stop her! "
802274C5,"SHIMMERING HEIGHTS"
802F9F5F,"Plastic: Let me check ... Yeah, you’re close to the Umbilical. Make your way through maintenance to the outside and then cross there."
8033D264,"Deliver 10 packages"
80365594,"Aight, he’s down. Let’s get him off the roof."
80393C66,"Express delivery"
803EFAA5,"You, over here! Let’s get out of here."
803F5FB5,"GAMEPLAY ANIMATORS"
8044F1E1,"Icarus: See if you can find a way back up."
804CAA8A,"Need assistance from the EA Worldwide customer Support Experience team? Select ""Need Help?"" on the left."
804CDD33,"Faith: Crap! KrugerSec’s here."
80503A0C,"/"
80526F9D,"Noah: Workroom 4H, Faith. Shouldn't be too hard to find."
8055C1CD,"ZOOM"
80589E14,"Faith: No."
805B6F15,"Plastic: Yes, but what if he is. Then she’s probably there too. I wouldn’t know what to say to my sister if I met her."
805E9BF4,"Automated Voice: Attention! All employs are hereby encouraged to report any Runner activity in the Centurian Yards area."
806CFB6F,"TECHNOLOGY DIRECTOR"
808068F9,"THY KINGDOM COME"
8089F3EE,"Well, that sounds promising Hagard."
80A7BECF,"Escape with a gift from an old enemy "
80AD28D1,"In his bad books"
80B1245D,"THE CONNORS EQUATION"
80B2FE84,"SAVE LISTED ({0:d} of {1:d})"
80BEDA04,"CONTINUE WITHOUT SAVING"
80CC62D6,"We need to find a way to resolve this. You screwed me over, Dogen."
80DBC515,"Skill Move: WALLRUN to CLIMB"
81115F13,"Set waypoint"
811FC947,"UNDER SURVEILLANCE"
812620E3,"Nomad: Looks like you’re clear. And that antenna won’t work for a long while. Well done, Faith."
8130BD0A,"Faith: I’ve reached maintenance."
813E50BD,"I need this package delivered. And I need it intact. If the container breaks and the cooling fails I can’t be held responsible. And this is the last thing I do for her. She better understand that. Now, off with you."
8143A640,"Yes, I will send it to you, Doctor Malus. "
81617C5E,"ENGINEERING & TECHNOLOGY"
8177F42B,"Which would be enough to pay our dues."
817BAD44,"I can’t just stand idly by and watch as the Conglomerate ruins what little the outCaste have left."
8193EC70,"MEDIA & POST PRODUCTION DIRECTOR"
81A4A611,"Prisoner: Stop it!"
81A56D30,"Continue as before."
81AE9615,"SKILL TREE"
81AF5DFC,"Icarus: Persistent bastards. Won’t stop shooting. Be careful you don’t get into their field of fire, Faith."
81C5D96F,"Faith: OK, my beatLink is online again."
81DC86A0,"Plastic: And here we go!"
81DEBBB2,"DESIGN"
81DEE397,"LEAD BUSINESS INTELLIGENCE ENGINEER"
81E70B5B,"COVERT DELIVERY"
81E87721,"ONLINE HOSTING SENIOR MANAGER"
81EB2D5A,"DIALOGUE SENIOR BUSINESS AFFAIRS COORDINATOR"
81F2B53A,"Noah: Ah, there you are."
81FB305F,"The connection to the EA servers could not be reestablished. A online connection is required to play the beta. The full game will not require an online connection."
82101346,"But I haven’t done anything!"
821FF369,"Make Unlisted"
822711E1,"Plastic: Alright, they’re on full alert. I hope you make it."
822766DA,"Noah: What the hell are you two up to?"
822D9CE5,"Faith: Icarus?"
823384EE,"SET WAYPOINT"
82431597,"TECHNICAL DESIGN DIRECTOR"
824F4DF0,"{0:input} {1:input} {2:input} "
82550423,"Noah: Faith - come back to the Lair. I got a run for you. A good one."
82626260,"{0:input} to attack an enemy."
8270955D,"SYSTEM ADMINISTRATOR"
82749C7C,"PIGEONS DOWN - THALIA"
82876161,"Rebecca: Target in the bag. All teams stand by to extract."
8288FB05,"Complete 15 billboard hacks and interventions"
828CE193,"Faith: You’re still an idiot."
828E6507,"Fighting the system"
828E72F5,"Equipment in place. Calibrating."
8291E94A,"It would. Let’s go."
82990721,"SENIOR DIRECTOR OF ENGINEERING"
829F20B5,"Noah: Exactly, Plastic. You get it."
82A7983E,"Noah: So the terminal is in room 4H. Calm my nerves and get it done, will you."
82AC2E1A,"{0:d}"
82B77896,"Nomad: Faith? I got just the thing for you!"
82D366CC,"Faith: I’ll do it. Send me the locations."
82D561CD,"You’re sleeping next to me right now. "
82E27A6C,"OPEN KIT"
82E82B60,"Yeah! We are on first name bases, it's a bromance, you know?"
82F0B83E,"You’ll learn to follow policy!"
82F7163A,"LO- & MIDCASTE. POP 14000000"
82FCE770,"First crack the shell, then crack what's inside"
82FE8473,"Caution. Fire. Caution. Fire. Evacuate immediately."
83025172,"Time for a Frenzied Rumble"
830987CF,"UNABLE TO LOAD PLAYER PROFILE DATA. YOU MAY NEED TO RETURN TO THE XBOX 360 GUIDE AND DELETE YOUR SAVE FILE. DO YOU WANT TO RETRY LOADING?"
83251A09,"Rebecca: Just confirmed our target is leading them."
83299E0F,"{0:input}  Smoothly JUMP, VAULT and CLIMB objects with exceptional fluidity and speed  Contextual to momentum and the environment"
832C294A,"Checkout the store for related content"
833657E3,"The picture you're looking at. Is that your family?"
83479CD3,"Noah: You’re all good to go, Faith. Well done. Take some time to explore the city and come back here when you’re ready. I have another run for you. Should get you at least part of the way to paying off Dogen."
8350D06C,"I have. They don't suspect anything and have no idea who I am."
8359400D,"Faith: Cat!"
835C3415,"Sentinel: That’s a negative, control. No visual. She couldn’t have survived that."
835D2688,"Plastic: Place the shotgun and I’ll copy the gridPrint to it. "
83706C48,"Aline: Still no general evacuation though. Maybe we misread the blueprints."
8387B417,"Icarus: Damn, I’m good! Just took out two of them!"
83AABC18,"CONTINUE"
83AB9A81,"You have reached your limit of published UGC. Save this Beat L.E. as unlisted?"
83CFFA78,"CHARTER HILL"
83D6A58F,"and for that to happen I need to stay beneath the radar for a while. "
83E6AE8B,"GLOBAL PLM MANAGER"
83E871D0,"This is it. You have the VIRUS, and you know where you need to go, which is to the very top of the tallest building in GLASS. What awaits you there remains to be seen. Will Kruger be there? Your sister? Will the virus work?  Reflection must be STOPPED, and you’ve decided to risk everything to do it. For your friends. For all the employs out there who aren’t even aware of the danger it poses. And for Noah."
83F7F5C0,"Oh no! You're lucky you're still alive!"
84010A18,"FLY TRAP"
8414B318,"but they'll have no way of locating us."
841A5E50,"Icarus: As I said. They kill."
842868A7,"Hmmm, Of course he does"
84378C46,"EA LOCALIZATION"
84425294,"SOCIAL AND COMMUNITY MANAGER NORDICS"
8461A54B,"Faith: It’s getting away!"
846BEFE4,"Automated Voice: Attention! Breach of Conglomerate policy means risking deportation to a Greyland facility. Keep yourself safe. Keep our city safe."
846F6ED1,"WEB BACK"
8472F5E9,"WEB HOME"
8474A284,"CLASSIC"
847834CD,"TEXTURE FILTERING"
847913A6,"WEB STOP"
847C3AC2,"DOWNTOWN, LO- & MIDCASTE. POP 32500"
848D0181,"Faith: Neat!"
849640D8,"DIRECTOR MARKETING INFRASTRUCTURE OPERATIONS"
849B0D99,"OK. It seems like it is not. I’ll talk to you later then, Kristian."
849C8F1A,"The corporations need to see that there are a lot of us who refuse to accept them directing Cascadia’s future."
84A9A8A4,"TALK TO ICARUS"
84B0271E,"I miss you too. Be safe, Tristan."
84D770AB,"FX LEAD"
84DA294E,"RECALCULATING:"
84DCBA61,"SENIOR DIRECTOR UX CREATIVE"
84DD29F3,"Dogen: We have some catching up to do, Faith. Perhaps we can have dinner when we’ve settled our transaction? Yes, dinner it is. I’ll prepare something special."
84DE23A6,"Remove 10 electronic parts from Conglomerate terminals"
84E38DA8,"Five Finger Discount "
84E7BF70,"PRONTO, OK?"
84F484D0,"TALK TO CAITLYN"
84F7F9EB,"It just so happens that he asked for exactly that. Said he had a job for us. "
84FCC0DF,"Noah: You want to get into 4H. Got it?"
85020828,"Faith: No. It’s time to face them."
851B81C2,"MEDIA SELECT"
851E1082,"We are no longer slaves to fate. We're taking the future into our own hands."
851F04D7,"KrugerSec doesn’t fool around."
853B6D00,"I’m seeing a slight increase in dopaminergic activity. Lessen the stimuli."
853EC371,"Icarus: I actually did a few runs for Black November before I joined up with Noah. Courier-stuff mostly. Rebecca Thane can be intimidating, but she paid well."
85447415,"ONLINE TEST GROUP-QA ANALYSTS"
854829AF,"LOCALIZATION TRANSLATION"
8548E1DE,"Runner. The package must be delivered intact. I tried protecting it best I could, but if it breaks we might have a serious problem. And this is the last thing I do for her. She best understand that."
854E743B,"Noah: What? I’m liking this run less and less."
854F25DF,"Icarus: K-Sec just dropped several squads into Everdyne Tower."
85521011,"Witness a terrifying event"
85577A13,"Devastation"
856B4A83,"{0:d}"
856F4278,"Rebecca: We fight for those who cannot. Never forget that."
859CC574,"Noah: Good enough for Birdman is good enough for me. Guess you want to stop by Nomad now. Come back here when you’re ready."
85A1F53F,"You have lost connection to the EA servers. Social features will be unavailable"
85A529E3,"Faith: I’m not looking to avoid them."
85A8690A,"TELEPORT"
85AF3732,"Prisoner: You’re hurting me!"
85B3F3E1,"BUSINESS SOLUTIONS ANALYSTS"
85B8C5E5,"Delivery assignment opportunity available."
85C701EC,"FORMOSA INTERACTIVE"
85C7208C,"Need user interaction."
85D2700D,"Wireless interaction with the Beat"
85F1FA8A,"I can see you delivered the package as agreed. Very good. This data will be invaluable to us when taking on the department heads. Thank you. Payment authorized."
85F58DF6,"WEB SEARCH"
86086879,"SOCIAL PLAY DISABLED"
860D5DCD,"Birdman: Aren’t runners supposed to run?"
86101B10,"INTERNATIONAL: OMNISTAT DE-ESCALATION TALKS AT A STALEMATE. CASCADIAN DIPLOMATS EXPRESS FRUSTRATION WITH THE PROCEEDINGS."
86101B11,"BUSINESS: SENIOR BRYSON EXEC STETSON UNGER TO STEP DOWN FOLLOWING AN EMPLOY HAZARD SCANDAL IN MEGAFACTORY 14."
86101B12,"ENTERTAINMENT: RUMORS OF YET ANOTHER FAVORITE CHARACTER DYING IN THE LATEST EPISODE OF PLAY OF WOES HAS THE AUDIENCE IN AN UPROAR."
86101B13,"CC CORP: 9%   |   ELYSIUM CORP: 7%   |   EVERDYNE ENERGY: 9%   |  KRUGER HOLDING: 15%   |  BRYSON INDUSTRIES: 11%   |   WFYO FINANCE: 10%   |   SILVINE SYSTEMS: 9%   |   ALLCOM: 8%   |  MMG: 7%  |  CASCADIA LOGISTICS: 5%  |  RAPOSA: 4%   |   ANANSI GROUP: 3%   |    PIRANDELLO: 3%   |   "
86176F9F,"Icarus: Faith, did you just take a hard fall?"
862EC869,"Nomad: Damn ... And I just saw they put up one of those antennas right next to the Lair."
86377780,"Plastic: Once I start subverting the hubs you will have to be fast getting to each one. Just so you know."
864ED5DB,"AUTO"
865192B5,"FULL"
8652593C,"HORIZON BASED"
865277C2,"HIGH"
8658A9B8,"SCREEN SPACE"
865AC07E,"{0:s} {1:s}"
865EAAA3,"PURCHASE SKILL"
86819B35,"Please, my family doesn’t know - can you just--"
868A1FFA,"When you die during a Hunter Drone chase or during a Security Hub you will be respawned at the closest safe house.  "
869D067C,"Noah: Buzzing with the news that you’re back, apparently. But I want to talk about this."
86A3A27A,"Icarus: I’ll be there soon. Up for a game, Noah?"
86B59734,"UI SCRIPTERS"
86BF9142,"An error occurred while communicating with the Gateway CDN."
